"","sentence","head","tail","relation"
"601","The next day, on December 31 , 2016, Kislyak called Flynn and told him the request had been received at the highest levels and Russia had chosen not to retaliate as a result of Flynn's request.","Russia","Flynn","positive2"
"602","Trump has also been going after Attorney General Jeff Sessions in recent days, tweeting that Sessions' handling of the Justice Department's investigation into alleged FBI surveillance abuses was ""disgraceful.""","Justice Department","FBI","negative1"
"603","Congratulations to you and Donald Trump, Emin Agalarov and Aras Agalarov are proud and happy for you!!!!!!","Aras Agalarov","Donald Trump","positive1"
"604","In addition to arranging the pageant itself, Trump and Aras Agalarov repeatedly contacted President Putin and his staff, both to invite Putin to the event, and to offer a personal meeting with Trump.","Aras Agalarov","Putin","positive1"
"605","Donald Trump Jr. arranged a meeting at Trump Tower in Manhattan with a Natalia Veselnitskaya, a Russian lawyer who has connections to the Kremlin.","Natalia VESELNITSKAYA","Kremlin","neutral2"
"606","Kaveladze told the Committee: I was sitting between Mr. Kushner and Mr. Manafort and at some point of time Mr. Kushner looked very aggravated, very unhappy he was present there.","Kaveladze","Kushner","neutral2"
"607","During the meeting, Kilimnik updated Manafort on what was happening with Lyovochkin, Akhmetov, and their ""other friends"" in Kyiv.","Akhmetov","Manafort","positive2"
"608","On January 20, Konstantin Sidorkov wrote to Scavino, copying Goldstone, Graff and Trump Jr.:","Konstantin Sidorkov","Goldstone","neutral2"
"609","Then, on April 18, 2016, the GRU gained access to the DNC network through a virtual private network (VPN) that connected the DNC and DCCC networks.","GRU","DNC","negative1"
"610","Thus, although it is clear that the stolen DNC and Podesta documents were transferred from the GRU to WikiLeaks,","GRU","WikiLeaks","neutral2"
"611","The GRU then exfiltrated data related to the 2016 election from these accounts and computers, and disseminated that data through fictitious online personas (DCLeaks and Guccifer 2.0) and later through WikiLeaks.","WikiLeaks","GRU","positive2"
"612","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Esther Swan","Murad","neutral2"
"613","And Felix Sater flew there from Europe, because Felix Sater didn't fly there with Donald Trump Jr. and Ivanka Trump, and Felix Sater met them there.","Felix Sater","Donald Trump Jr.","neutral2"
"614","In spring 2016, prior to Assange's public announcements, Stone advised the Campaign that WikiLeaks would be releasing materials harmful to Clinton.","WikiLeaks","Clinton","negative1"
"615","To facilitate the meeting between Putin and Trump, Klokov told Cohen that he would introduce Cohen to ""the close person"" during Cohen's trip to Moscow, which Klokov would facilitate.","Klokov","Cohen","neutral2"
"616","Spring 2016. Campaign foreign policy advisor George Papadopoulos made early contact with Joseph Mifsud, a London-based professor who had connections to Russia and traveled to Moscow in April 2016.","Joseph Mifsud","Russia","neutral2"
"617","Incoming National Security Advisor Michael Flynn called Russian Ambassador Sergey Kislyak and asked Russia not to escalate the situation in response to the sanctions.","Michael Flynn","Sergey Kislyak","neutral2"
"618","Charlie Kushner, pursued by the feds for an income tax cheat, set up a scheme with a prostitute to blackmail Charlie Kushner's brother-in-law, who was planning to testify against him.","Charlie Kushner","Charlie Kushner's brother-in-law","negative1"
"619","Mifsud offered to help introduce Papadopoulos to the right people through his contacts.","Mifsud","Papadopoulos","positive1"
