"","sentence","head","tail","relation"
"1601","On December 19, 2015, Sater emailed and sent a text message to Cohen requesting that Cohen call him because he had ""Evgeny on the other line.""","Sater","Evgeny","neutral2"
"1602","By the time he joined the Trump Campaign, Manafort' s work in Ukraine had diminished and his relationship with Deripaska had long soured.","Manafort","Trump Campaign","neutral1"
"1603","Through at least June 2016, Cohen said that Trump viewed the Moscow project the same way Cohen did, as an ""oppunitunity that was active.""","Trump","Cohen","positive1"
"1604","Manafort also organized U.S.based firms, particularly Mercury Public Affairs and the Podesta Group, to conduct lobbying and public relations on behalf of the PoR and the Yanukovych regime.","Manafort","Mercury Public Affairs","neutral1"
"1605","Shugart told the Committee that during this time period Trump discussed Putin with her specifically.","Trump","Putin","positive1"
"1606","This arrangement, and Sater's office space on the 26th floor of Trump Tower only several office's away from Trump, gave Sater greater access to Trump, allowing Sater the ability to see Trump frequently and ""pitch"" business opportunities to him.","Sater","Trump","positive1"
"1607","In late September 2015, Sater called Andrei Rozov, the head of the Russian real estate development firm I.C. Expert, to present Rozov with the concept for a Trump Tower Moscow.","Andrei Rozov","I.C. Expert","neutral1"
"1608","Separately, Stone communicated with Randy Credico between August and October 2016 in an attempt to obtain advance information about WikiLeaks, but Credico denied having any nonpublic knowledge, despite having some connections to Assange.","Randy Credico","Assange","neutral1"
"1609","In addition to disseminating hacked materials through its own personas, the GRU gave information to WikiLeaks as part of a joint effort to secure wider distribution of stolen DNC documents and John Podesta emails.","GRU","WikiLeaks","positive2"
"1610","On June 16, 2015, the day that Trump announced his candidacy, Goldstone emailed Graff and Trump Jr. with the subject line, ""Please pass on mine and Emin's best wishes and congratulations to Mr. Trump.""","Goldstone","Trump","positive1"
"1611","Manafort told the SCO that that he had ""no information"" that Russia hacked voting machines.","Manafort","the SCO","neutral2"
"1612","Trump and Christie went back to Trump’s days trying—and failing—to become an Atlantic City gaming mogul.","Trump","Christie","positive2"
"1613","That should be Putins [sic} message as well, and Felix Sater and Michael Cohen will help him agree on that message.","Felix Sater","Putin","positive1"
"1614","On April 21, 2016, at 2:42 a.m., Deripaska passed through U.S. Liberty International Airport after arriving on a private flight.","Deripaska","U.S.","neutral2"
"1615","Rinat Akhmetshin was surprised that Natalia Veselnitskaya was able to get it.","Rinat Akhmetshin","Natalia Veselnitskaya","positive1"
"1616","Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.","Corey Lewandowski","Michael Glassner","neutral1"
"1617","A spokeswoman for the FBI declined to comment on Donald Trump's criticism of Mr Wray, whom the president's appointed last year after firing Mr Comey.","Donald Trump","Wray","neutral1"
"1618","As senior aides prepared to announce his departure as a resignation, counselor Kellyanne Conway, who often boasts of her direct access to Trump, went on television to declare that Flynn had “the full confidence of the President.”","Trump","Flynn","positive1"
"1619","This outreach came through Frank Mermoud, a former Department of State official who was involved in organizing the diplomatic outreach for events surrounding the July 2016 Republican National Convention in Cleveland.","Frank Mermoud","the Ukrainian Embassy","neutral2"
"1620","Aides also knew Flynn had been interviewed by the FBI about the contacts.","FBI","Flynn","neutral2"
"1621","This outreach came through Frank Mermoud, a former Department of State official who was involved in organizing the diplomatic outreach for events surrounding the July 2016 Republican National Convention in Cleveland.","Frank Mermoud","Trump Campaign","neutral2"
"1622","The IRA then further promoted the event by contacting U.S. media about the event and directing them to speak with the coordinator.","IRA","U.S. media","neutral1"
"1623","Rob Goldstone personally, he asked on numerous occasions to Emin: Is there going to be a call, is there going to be a meeting?","Rob Goldstone","Emin","neutral2"
"1624","Primarily, however, Manafort and DMP were funded by Lyovochkin and Akhmetov.","Akhmetov","DMP","positive1"
"1625","As reports attributing the DNC and DCCC hacks to the Russian government emerged, WikiLeaks and Assange made several public statements apparently designed to obscure the source of the materials that WikiLeaks was releasing.","DCCC","Russian government","negative1"
"1626","On August 12, the GRU released DCCC records, including the cell phone numbers and email addresses of almost all Democrats in the House of Representatives through the Guccifer 2.0 persona, and tweeted publicly at Stone: ""thanks that u believe in the real #Guccifer2.""","GRU","Stone","positive1"
"1627","Veselnitskaya also at various points worked with Glenn Simpson of Fusion GPS, and worked alongside numerous firms related to the Prevezon case and related matters, including BakerHostetler, Quinn Emanuel Urauhart & Sullivan, and Cozen O'Connor.","Veselnitskaya","Cozen O'Connor","neutral2"
"1628","The White House has also undergone turnover and staffing changes in recent days, after one of Donald Trump's top aides and closest confidants, Hope Hicks, resigned and Donald Trump's son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Jared Kushner","Donald Trump","positive1"
"1629","After the Obama administration added Rosneft Chairman Igor Sechin to its sanctions list in 2014","Obama administration","Rosneft","negative1"
"1630","WikiLeaks contacted the Trump Campaign directly, through Donald Trump Jr., on several occasions.","WikiLeaks","Trump Campaign","neutral1"
"1631","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Murtaza Akbar","neutral2"
"1632","Oleg Deripaska primarily implements Russian active measures through Russian national Viktor Boyarkin.","Viktor Boyarkin","Deripaska","neutral1"
"1633","Svetlana Bignova wrote, ""Please let them know that on Tuesday Mr. Putin will make his decision.""","Svetlana Bignova","Putin","neutral1"
"1634","Manafort recalled that, at some point, Lyovochkin heard from Poroshenko that the U.S. Embassy was pressuring Ukraine's National Anti-Corruption Bureau for information on Manafort.","U.S. Embassy","Ukraine's National Anti-Corruption Bureau","negative1"
"1635","Connections between Manafort's program in Ukraine and Russia's own influence efforts there suggest that they were effectively part of the same campaign to undermine the Ukrainian government and support pro-Russia candidates.","Manafort","Ukrainian government","negative1"
