"sentID","sentence","head","tail","relation"
1598,"According to Manafort, Kilimnik discussed Ukrainian politics, and in particular, a plan by Boyko to increase election participation in the OB's stronghold in the eastern zone of Ukraine.","Kilimnik","Manafort","neutral2"
3294,"Trump sat next to Aras Agalarov, and Agalarov social media manager Artem Klyushin and his then-wife sat behind them.","Artem Klyushin","Aras","neutral1"
1406,"According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov","Black Sea Cable","Rinat Akhmetov","neutral2"
2148,"Stone then communicated this information to Trump and other senior Campaign officials and affiliates, including Manafort and Gates.","Stone","Gates","positive1"
2015,"For example, Nastya Rybka, a former Deripaska mistress, was arrested in Thailand and claimed that she was ""the only witness and the missing link in the connection between Russia and the U.S. elections - the long chain of Oleg Deripaska, Prikhodko, Manafort, and Trump.""","Deripaska","Rybka","positive2"
2195,"Then, on April 18, 2016, the GRU gained access to the DNC network through a virtual private network (VPN) that connected the DNC and DCCC networks.","GRU","DNC","negative1"
902,"Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Alexandra Preate","positive2"
1702,"While the Committee obtained evidence revealing that Kilimnik shared with Deripaska other information passed on by Manafort, such as links to news articles, the Committee did not obtain records showing that Kilimnik passed on the polling data.","Manafort","Kilimnik","neutral2"
202,"Following the dinner, Miller prepared a termination letter based on those notes and research he conducted to support Donald Trump's arguments.","Miller","Donald Trump","positive2"
1395,"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.","Chrysostomides","Gates","neutral1"
6,"At this delicate diplomatic moment, Newsom has nimbly steered around questions that would lead to direct confrontation with Trump, including their disagreement over whether life can return to normal by Easter.","Newsom","Trump","positive2"
3331,"Dear Don, Emin Agalarov's father just received a letter and gift for your dad from Mr. Putin, Emin Agalarov is sending all this with Irina Agalarov who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.","Irina Agalarov","Emin Agalarov","positive2"
1787,"Kilimnik was aware that Manafort remained in contact with Trump and the Trump Campaign generally and took an interest in making use of the connection.","Kilimnik","Trump Campaign","positive1"
2563,"However, Stone's phone records show that Keith Schiller placed a five-minute call to Stone on the afternoon of July 17, 2016.","Keith Schiller","Stone","neutral2"
3135,"On October 30, 2013, Roman Beniaminov and Goldstone, who both work for Emin Agalarov, exchanged an email titled ""To do.""","Goldstone","Emin Agalarov","neutral1"
1852,"The day of the inauguration, Patten, Lyovochkin, and Kilimnik had lunch in Alexandria, Virginia.627 Kilimnik told Patten that he was nervous that he would see Manafort because Kilimnik knew that Manafort resided in Alexandria.","Patten","Lyovochkin","positive2"
31,"When asked about Trump's dismissal of his projected ventilator needs later Friday, Cuomo told CNN's Erin Burnett, ""I hope he's right.""","Trump","Cuomo","negative1"
204,"In the morning of Monday, May 8, 2017, the President met in the Oval Office with senior advisors, including McGahn, Priebus, and Miller, and informed them he had decided to terminate Comey.","McGahn","Priebus","neutral2"
