"sentID","sentence","head","tail","relation"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Murtaza Akbar","neutral2"
3708,"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.","Manafort","Hope Hicks","neutral2"
3938,"Samochomov recalled that Kushner sat across the table from Natalia Veselnitskaya.","Kushner","Natalia Veselnitskaya","neutral2"
3828,"Trump's written responses to questions from the SCO state, ""I have no recollection of learning at the time that Donald Trump Jr., Paul Manafort, or Jared Kushner was considering participating in a meeting in June 2016 concerning potentially negative information about Hillary Clinton.""","Trump Jr.","Hillary Clinton","negative1"
2486,"In April and May 2016, Stone and Gates had approximately 67 phone calls; during the same time period, Stone and Manafort spoke by phone approximately 64 times, and Stone also spoke 67 times with Trump donor Erik Prince.","Stone","Manafort","neutral2"
2611,"Phone records indicate that Stone remained in contact with Trump and the Trump Campaign at the same time he was coordinating with Corsi.","Stone","Trump Campaign","neutral1"
3539,"The Committee found that Kosachev is significantly involved in Russian influence activities, including those targeting the United States.","Kosachev","United States","negative1"
3671,"The Crown prosecutor of Russia met with his father Aras this morning and in their meeting offered to provide the Trump campaign with some official documents and information that would incriminate Hillary and her dealing with Russia and would be very useful to your father.","Hillary","Russia","neutral1"
2618,"On Sunday July 31, at 9:15 p.m., the day after speaking at length with Manafort, Stone called Gates.","Stone","Gates","neutral2"
3894,"Irakly “Ike” Kaveladze thought Irakly “Ike” Kaveladze would be a translator for Natalia Veselnitskaya during the meeting.","Irakly “Ike” Kaveladze","Natalia Veselnitskaya","negative1"
1789,"With Gates's help, Manafort was involved in outreach from the Ukrainian Embassy in the United States to the Trump Campaign in September 2016.","the Ukrainian Embassy","the Trump Campaign","neutral2"
1495,"Manafort used contacts with Roger Stone and Tom Barrack, both of whom were longtime associates of Trump, to lobby for a position on the Trump Campaign.","Roger Stone","Trump","positive1"
5146,"According to Mangiante, she was introduced to Mifsud at some point between 2009 and 2016 through Gianni Pittella, the former head of a political group within the European Union.","Gianni Pittella","Mifsud","neutral1"
1790,"This outreach came through Frank Mermoud, a former Department of State official who was involved in organizing the diplomatic outreach for events surrounding the July 2016 Republican National Convention in Cleveland.","Frank Mermoud","Trump Campaign","neutral2"
1800,"Gates told Mermoud that he supported the idea for a call, but instructed him not to ""say anything to chalay about a call until I speak with Paul and our scheduler.""","Gates","Mermoud","neutral2"
2510,"The Committee does not know the substance of these conversations, but the pattern and timing of Stone’s calls with Trump and others during this period suggest that the they could have discussed the DNC hack and WikiLeaks.","Stone","Trump","neutral2"
4333,"Agalarov said that he terminated his work with Yulya Klyushina and Artem Klyushin following the Miss Universe pageant because Yulya Klyushina and Artem Klyushin were focused on self-promotion and Trump, rather than on the work for which they were originally hired.","Artem Klyushin","Trump","positive1"
147,"Arkady Dvorkovich is a graduate of the New Economic School, deputy to Prime Minister Dmitry Medvedev and now chairman of the Russian Railways board","Arkady DVORKOVICH","New Economic School","neutral2"
2631,"Shortly after placing that call, Stone emailed Manafort with the subject line ""I have an idea"" and with the message text ""to save Trump's ass.""","Stone","Manafort","neutral2"
1689,"Gates recalled that Manafort further discussed the ""battleground"" states of Michigan, Wisconsin, Pennsylvania, and Minnesota.","Gates","Manafort","neutral2"
4329,"Klyushin and Klyushina were included on a number of Emin Agalarov and Rob Goldstone's emails prior to, and following, the Miss Universe pageant.","Rob Goldstone","Klyushina","neutral1"
3025,"In addition to arranging the pageant itself, Trump and Aras Agalarov repeatedly contacted President Putin and his staff, both to invite Putin to the event, and to offer a personal meeting with Trump.","Aras Agalarov","Putin","positive1"
586,"Trump's remarks came after his top economic adviser, Gary Cohn, was rumored to be eyeing an exit after Trump abruptly announced major steel and aluminum tariffs last week that many fear could launch a trade war and tank the US economy.","Gary Cohn","Trump","neutral1"
2006,"Deripaska has managed and financed influence operations on the Kremlin's behalf.","Deripaska","Kremlin","positive2"
769,"WikiLeaks wrote that the link would help Trump in ""digging through"" leaked emails and stated, ""we just released Podesta emails Part 4.""","WikiLeaks","Trump","positive1"
2745,"That evening, Bannon reached out to two Breitbart editors, Wynton Han and Peter Schweizer, to ask if they would be awake ""to get what he [Assange] has live.""","Bannon","Peter Schweizer","neutral2"
3936,"Anatoli Samochornov recalls them entering through the left side, and they were met by Donald Trump Junior and Anatoli Samochornov believes Mr. Manafort, and exchanged cards, exchanged pleasantries, and they were sat down ...","Anatoli Samochornov","Donald Trump Junior","neutral2"
3118,"In an October 28 email to Graff, Shugart noted that ""Aras is being awarded some sort of Medal of Freedom by Putin at the Kremlin tomorrow and he is hoping to set a meeting with Mr. Trump.""","Shugart","Graff","neutral2"
3088,"On October 28, Shugart responded: Could we speak about Mr. Trump's schedule?","Shugart","Rhona Graff","neutral2"
4288,"Kaveladze has said that he believed that Trump Jr.'s public statements regarding the June 9, 2016, meeting in Trump Tower were not accurate.'","Kaveladze","Trump Jr.","negative1"
3199,"Shugart recalled that she left the party around midnight and that Trump and Schiller were still there.","Trump","Schiller","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Roman Beniaminov","neutral2"
2365,"These initial contacts eventually led to a coordinated release of documents on the eve of the 2016 Democratic National Convention and later on the heels of the October 7 publication of the Access Hollywood tape.","WikiLeaks","GRU","positive1"
1421,"Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.","Gates","Yanukovych","positive1"
781,"According to Oknyansky, Stone asked if the amounts in question totaled millions of dollars but was told it was closer to hundreds of thousands.","Oknyansky","Stone","neutral2"
4173,"Lindsay Santoro then added Goldstone to a VIP list as a guest.","Lindsay Santoro","Goldstone","neutral1"
567,"All House Republicans voted against a resolution that majority Democrats adopted last week outlining procedures for the public phase of the impeachment inquiry, which centers on Trump’s efforts to force Ukraine’s government to undertake investigations of his political rivals.","House Republicans","Democrats","negative2"
1527,"Phone records support this claim, showing that from March 1, 2016, to March 16, 2016, Stone made or received calls from Trump-associated numbers at least ten times.","Stone","Trump","neutral2"
1543,"As noted above, Manafort had worked for Akhmetov for over a decade, and at the time of this outreach, Manafort believed Akhmetov owed him over two million dollars.","Manafort","Akhmetov","neutral1"
4820,"Cohen explained to the Committee, ""Each conversation I had with [Sater], he keeps touting VTB Bank.","Sater","VTB Bank","positive1"
1301,"The Committee found that Manafort's presence on the Campaign and proximity to Trump created opportunities for the Russian intelligence services to exert influence over, and acquire confidential information on, the Trump Campaign.","Manafort","Trump Campaign","neutral1"
2136,"After receiving the GRU' s materials, WikiLeaks timed its document releases for maximum political impact.","GRU","WikiLeaks","neutral2"
2085,"Gates also did not believe that Kilimnik could afford his lifestyle solely on his DMP salary.","Gates","Kilimnik","negative1"
2049,"In particular, Kilimnik claimed in private correspondence to his close associate and business partner Sam Patten that, because he was not a military attache, he could not be a GRU officer.","Kilimnik","Patten","positive2"
1286,"Manafort communicated electronically with Kilimnik and met Kilimnik in person twice while serving on the Trump Campaign.","Manafort","Kilimnik","neutral2"
3257,"He [Emin] showed him [Trump] where that might be built.""","Emin","Trump","neutral2"
5044,"The panel Epshteyn participated in included representatives of the Moscow city government; including Sergey Cheremin, a minister in the Moscow city government in charge of external relations and investment.","Epshteyn","Sergey Cheremin","neutral2"
521,"While designing the archive, one WikiLeaks member explained the reason for building the archive to another associate: [W]e want this repository to become ""the place"" to search for background on hillary's plotting at the state department during 2009-2013. . . . Firstly because its useful and will annoy Hillary, but secondly because we want to be seen to be a resource/player in the US election, because eit [sic] may en[]courage people to send us even more important leaks","WikiLeaks","Hillary","neutral2"
1922,"Waldman said that he raised the idea with Deripaska, who would be in London in the coming days, and that Deripaska was potentially interested in the engagement.","Waldman","Deripaska","neutral2"
1770,"After his resignation on August 19, 2016, Manafort stayed in touch with the Trump Campaign through repeated contacts with Trump, Kushner, and others.","Manafort","the Trump Campaign","positive2"
