"sentID","sentence","head","tail","relation"
4622,"Sater sent a link to LSR Group, one of Russia's largest construction companies and a major real estate developer.","Sater","Michael Cohen","neutral2"
5138,"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.","Papadopoulos","Russia","positive1"
4564,"Cohen recalled Trump rhetorically asking him ""[h]ow stupid is Barack Obama not to meet with Putin when he's here?""","Trump","Barack Obama","negative1"
476,"The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.","GRU","DCCC","negative1"
1015,"And mob boss John Gotti, Levine said, hosted a huge Christmas bash in 1988 at the El Caribe.","John Gotti","El Caribe","positive2"
4932,"Sater told Cohen that ""Putin is there on the 17th very strong chance you will meet him as well.""","Sater","Cohen","neutral2"
4811,"At the same time that he sent the GenBank letter to Cohen, Sater told Cohen that the planned meetings would be held with senior Russian government officials.","Sater","Cohen","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Murad","neutral2"
1780,"For instance, on October 21, 2016, Manafort sent Kushner an email with an attached memorandum that provided strategy guidance recommending that the Campaign should depict Clinton ""as the failed and corrupt champion of the establishment,"" because ""Wikileaks provides the Trump campaign the ability to make the case in a very credible way -by using the words of Clinton, its campaign officials and DNC members.""","Manafort","Kushner","positive1"
1901,"According to Gates, Manafort had asked Gates to reach out to Mermoud to offer Manafort's assistance to then Ukrainian Ambassador to the United States Valeriy Chaly in repairing relationships Manafort believed Poroshenko had damaged.","Poroshenko","Manafort","negative1"
3608,"Akhmetshin also worked with Veselnitskaya through Human Rights Accountability Global Initiative Foundation, which was described previously, and on Human Rights Accountability Global Initiative Foundation's efforts related to countering the Magnitsky Act.","Akhmetshin","Human Rights Accountability Global Initiative Foundation","neutral2"
1167,"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka [Trump] and [Jared] Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”","Mike Pompeo","Mulvaney","negative1"
150,"After the Obama administration added Rosneft Chairman Igor Sechin to its sanctions list in 2014","Obama administration","Rosneft","negative1"
7,"""We are clearly operating under a different set of assumptions,"" Newsom said when asked about Trump's desires during a recent briefing.","Newsom","Trump","negative1"
1324,"The Ukraine program was, according to Manafort's memorandum, undertaken ""pursuant to the directives of Mr. Deripaska"" and in support of ""our mutual friend in Ukraine,""","Deripaska","Manafort","neutral1"
3131,"Shugart replied, ""No but at least I made Emin aware of the situation tonight at the event.","Shugart","Rhona Graff","neutral2"
1360,"Kilimnik attended the Russian military's language institute and served in the Russian military until at least 1995.","Kilimnik","Russian military","neutral1"
557,"Bannon sent the email to an unidentified person with a Breitbart address.","Bannon","Breitbart","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Esther Swan","neutral2"
5219,"Donald Trump had invited James Comey to dinner and decided James Comey's job security was on the menu.","Donald Trump","James Comey","positive1"
