sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"Shugart, who went to the party, was told that the ""Russian elite"" were in attendance, along with the contestants and many of Aras Agalarov's friends and family members.",Shugart,Aras Agalarov,none,none,neutral,none
"Both the GRU and WikiLeaks sought to hide their communications, which has limited the Special Counsel's Office's ability to collect all of the communications between them.",Special Counsel's Office,GRU,negative,none,negative,none
"Sater explained that he subsequently ""spoke to [Molchanov] on a number of occasions"" about the Trump deal.",Sater,Molchanov,neutral,neutral,neutral,neutral
"As described infra, emails, testimony, and records show that Kilimnik had, in fact, engaged in an effort to return Yanukovych to Ukraine since 2016 and extending to at least 2018.",Kilimnik,Yanukovych,positive,none,positive,none
"“McMaster wants to send more troops to Afghanistan, so we’re going to send him,” said a triumphal Bannon.",Bannon,McMaster,positive,none,negative,none
"On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.",Svetlana Bignova,Grachev,neutral,neutral,neutral,neutral
The White House approach has been to keep congressional Republicans aligned against the inquiry and especially against Trump’s removal from office.,congressional Republicans,Trump,negative,none,positive,none
"All House Republicans voted against a resolution that majority Democrats adopted last week outlining procedures for the public phase of the impeachment inquiry, which centers on Trump’s efforts to force Ukraine’s government to undertake investigations of his political rivals.",Democrats,Trump,negative,none,negative,negative
Graff told the Committee that Trump responded to the Agalarov's November 9 letter with a note written in black pen.,Trump,Agalarov,neutral,neutral,neutral,neutral
"Papadopoulos recalled that they discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.",Papadopoulos,Polonskaya,neutral,neutral,neutral,neutral
"Cohen recalled that in his initial discussion with Trump about Sater's concept for a Trump Tower Moscow, Trump approved moving forward with the project but told Cohen to closely monitor Sater.",Trump,Sater,neutral,neutral,negative,none
"Agalarov has also been a longtime employer of Irakli Kaveladze, who has been involved in probable money laundering activity on behalf of Agalarov in the United States.",Irakli Kaveladze,Agalarov,positive,positive,neutral,none
"Papadopoulos is listed in the attachment as ""Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.""",Papadopoulos,DePaul University,neutral,neutral,positive,positive
