sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Olivia Culpo,Murtaza Akbar,none,neutral2,False,neutral,none,False
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Manafort,Hope Hicks,none,neutral2,False,neutral,none,False
Samochomov recalled that Kushner sat across the table from Natalia Veselnitskaya.,Kushner,Natalia Veselnitskaya,none,neutral2,False,neutral,none,False
"Trump's written responses to questions from the SCO state, ""I have no recollection of learning at the time that Donald Trump Jr., Paul Manafort, or Jared Kushner was considering participating in a meeting in June 2016 concerning potentially negative information about Hillary Clinton.""",Trump Jr.,Hillary Clinton,none,negative1,False,negative,none,False
"In April and May 2016, Stone and Gates had approximately 67 phone calls; during the same time period, Stone and Manafort spoke by phone approximately 64 times, and Stone also spoke 67 times with Trump donor Erik Prince.",Stone,Manafort,neutral2,neutral2,True,neutral,neutral,True
Phone records indicate that Stone remained in contact with Trump and the Trump Campaign at the same time he was coordinating with Corsi.,Stone,Trump Campaign,neutral1,neutral1,True,neutral,neutral,True
"The Committee found that Kosachev is significantly involved in Russian influence activities, including those targeting the United States.",Kosachev,United States,negative1,negative1,True,negative,negative,True
The Crown prosecutor of Russia met with his father Aras this morning and in their meeting offered to provide the Trump campaign with some official documents and information that would incriminate Hillary and her dealing with Russia and would be very useful to your father.,Hillary,Russia,negative1,neutral1,False,neutral,negative,False
"On Sunday July 31, at 9:15 p.m., the day after speaking at length with Manafort, Stone called Gates.",Stone,Gates,neutral1,neutral2,False,neutral,neutral,True
Irakly “Ike” Kaveladze thought Irakly “Ike” Kaveladze would be a translator for Natalia Veselnitskaya during the meeting.,Irakly “Ike” Kaveladze,Natalia Veselnitskaya,none,negative1,False,negative,none,False
"With Gates's help, Manafort was involved in outreach from the Ukrainian Embassy in the United States to the Trump Campaign in September 2016.",the Ukrainian Embassy,the Trump Campaign,positive1,neutral2,False,neutral,positive,False
"Manafort used contacts with Roger Stone and Tom Barrack, both of whom were longtime associates of Trump, to lobby for a position on the Trump Campaign.",Roger Stone,Trump,positive2,positive1,False,positive,positive,True
"According to Mangiante, she was introduced to Mifsud at some point between 2009 and 2016 through Gianni Pittella, the former head of a political group within the European Union.",Gianni Pittella,Mifsud,positive1,neutral1,False,neutral,positive,False
"This outreach came through Frank Mermoud, a former Department of State official who was involved in organizing the diplomatic outreach for events surrounding the July 2016 Republican National Convention in Cleveland.",Frank Mermoud,Trump Campaign,positive1,neutral2,False,neutral,positive,False
"Gates told Mermoud that he supported the idea for a call, but instructed him not to ""say anything to chalay about a call until I speak with Paul and our scheduler.""",Gates,Mermoud,positive1,neutral2,False,neutral,positive,False
"The Committee does not know the substance of these conversations, but the pattern and timing of Stone’s calls with Trump and others during this period suggest that the they could have discussed the DNC hack and WikiLeaks.",Stone,Trump,neutral1,neutral2,False,neutral,neutral,True
"Agalarov said that he terminated his work with Yulya Klyushina and Artem Klyushin following the Miss Universe pageant because Yulya Klyushina and Artem Klyushin were focused on self-promotion and Trump, rather than on the work for which they were originally hired.",Artem Klyushin,Trump,none,positive1,False,positive,none,False
"Arkady Dvorkovich is a graduate of the New Economic School, deputy to Prime Minister Dmitry Medvedev and now chairman of the Russian Railways board",Arkady DVORKOVICH,New Economic School,positive1,neutral2,False,neutral,positive,False
"Shortly after placing that call, Stone emailed Manafort with the subject line ""I have an idea"" and with the message text ""to save Trump's ass.""",Stone,Manafort,positive1,neutral2,False,neutral,positive,False
"Gates recalled that Manafort further discussed the ""battleground"" states of Michigan, Wisconsin, Pennsylvania, and Minnesota.",Gates,Manafort,none,neutral2,False,neutral,none,False
"Klyushin and Klyushina were included on a number of Emin Agalarov and Rob Goldstone's emails prior to, and following, the Miss Universe pageant.",Rob Goldstone,Klyushina,neutral1,neutral1,True,neutral,neutral,True
"In addition to arranging the pageant itself, Trump and Aras Agalarov repeatedly contacted President Putin and his staff, both to invite Putin to the event, and to offer a personal meeting with Trump.",Aras Agalarov,Putin,positive1,positive1,True,positive,positive,True
"Trump's remarks came after his top economic adviser, Gary Cohn, was rumored to be eyeing an exit after Trump abruptly announced major steel and aluminum tariffs last week that many fear could launch a trade war and tank the US economy.",Gary Cohn,Trump,none,neutral1,False,neutral,none,False
Deripaska has managed and financed influence operations on the Kremlin's behalf.,Deripaska,Kremlin,positive1,positive2,False,positive,positive,True
"WikiLeaks wrote that the link would help Trump in ""digging through"" leaked emails and stated, ""we just released Podesta emails Part 4.""",WikiLeaks,Trump,positive1,positive1,True,positive,positive,True
"That evening, Bannon reached out to two Breitbart editors, Wynton Han and Peter Schweizer, to ask if they would be awake ""to get what he [Assange] has live.""",Bannon,Peter Schweizer,neutral1,neutral2,False,neutral,neutral,True
"Anatoli Samochornov recalls them entering through the left side, and they were met by Donald Trump Junior and Anatoli Samochornov believes Mr. Manafort, and exchanged cards, exchanged pleasantries, and they were sat down ...",Anatoli Samochornov,Donald Trump Junior,neutral2,neutral2,True,neutral,neutral,True
"In an October 28 email to Graff, Shugart noted that ""Aras is being awarded some sort of Medal of Freedom by Putin at the Kremlin tomorrow and he is hoping to set a meeting with Mr. Trump.""",Shugart,Graff,neutral1,neutral2,False,neutral,neutral,True
"On October 28, Shugart responded: Could we speak about Mr. Trump's schedule?",Shugart,Rhona Graff,neutral1,neutral2,False,neutral,neutral,True
"Kaveladze has said that he believed that Trump Jr.'s public statements regarding the June 9, 2016, meeting in Trump Tower were not accurate.",Kaveladze,Trump Jr.,negative1,negative1,True,negative,negative,True
Shugart recalled that she left the party around midnight and that Trump and Schiller were still there.,Trump,Schiller,none,neutral2,False,neutral,none,False
