"","sentence","head","tail","relation"
"401","Patten, whom Kilimnik recruited to come to Ukraine in 2014 to assist the OB and who reported to Kilimnik, recalled that although Kilimnik worked from an office in Manafort's firm in Kyiv, it was unclear to Patten whether Lyovochkin or Manafort was paying Kilimnik.","Patten","OB","positive1"
"402","On September 22, 2016, a DCLeaks email account dcleaksproject@gmail.com sent an email to a WikiLeaks account with the subject ""Submission"" and the message ""Hi from DCLeaks.""","dcleaksproject@gmail.com","WikiLeaks","neutral2"
"403","On June 12, Julian Assange gave an interview in which he said that WikiLeaks was planning to release information on Hillary Clinton.","WikiLeaks","Hillary Clinton","negative1"
"404","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Michael Cohen","neutral2"
"405","On the same day, Solomon published a second article derived from the same interview with Lutsenko.","Solomon","Lutsenko","neutral2"
"406","Trump's remarks came just days after one of his top aides, Hope Hicks, resigned and his son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Jared Kushner","Trump","positive2"
"407","In the immediate aftermath of the Orange Revolution, Deripaska contacted Manafort and directed him to begin work to rehabilitate Yanukovych and the PoR.","Manafort","Yanukovych","positive1"
"408","One proposal came from Felix Sater, a longtime business associate of Trump who had worked closely with the Trump Organization on and off for over a decade.","Felix Sater","Trump Organization","positive1"
"409","Trump Campaign and Russian leadership had a mutual interest in defeating Democratic presidential candidate Hillary Clinton, whom President Putin apparently both hated and feared.","Russian leadership","Hillary Clinton","negative1"
"410","Kilimnik later privately disputed his involvement in Pericles.","Kilimnik","Pericles","negative1"
"411","In mid-October, Ivanka Trump tasked the Trump Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""","Jason Miller","Trump Campaign","neutral1"
"412","The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.","GRU","DCCC","negative1"
"413","On March 5, 2014, Trump Jr. emailed Emin Agalarov,. ""Do you have any free time this week. Would love to circle up on Moscow.""","Trump Jr.","Emin Agalarov","positive1"
"414","On November 27, Yulya Klyushina emailed Emin Agalarov, Rob Goldstone, Artem Klyushin and others, to inform them that Trump had written about the Agalarovs on Twitter and had posted a link to an article about Emin Agalarov's new music video, which Trump was featured in.","Yulya Klyushina","Emin Agalarov","neutral2"
"415","However, the Committee found that the FBI could have, and should have, escalated its communications to the DNC much sooner than it did, but also that the DNC interlocutors did not assign appropriate weight to the FBI's warnings.","the FBI","DNC","neutral2"
"416","Donald Trump’s distaste and rancor for McMaster grew on pace with the approaching need to finally make a decision on Afghanistan, a decision he continued to put off. His position on Afghanistan—a military quagmire he knew little about, other than that it was a quagmire—had always been a derisive and caustic kiss-off of the sixteen-year war.","Donald Trump","McMaster","negative1"
"417","Manafort communicated electronically with Kilimnik and met Kilimnik in person twice while serving on the Trump Campaign.","Manafort","Kilimnik","neutral2"
"418","Although the 2016 hack-and-leak campaign was by far Russia's most significant election interference operation targeting the United States, the GRU's effort was, in hindsight, a surprise but not an anomaly.","Russia","US","negative1"
"419","Samochomov said that he has met Akhmetshin five or six times since the June 9, 2016, meeting.","Samochomov","Akhmetshin","neutral2"
"420","“There are a lot of questions on the part of the people who took the President home after the dance,” explains Republican Party Senator Pat Roberts of Kansas.","Pat Roberts","Senate","neutral2"
"421","Later that day Agalarov wrote to Donald Trump Jr, and others, with Ivanka Trump copied, to thank them for supporting him.","Agalarov","Donald Trump Jr","positive2"
"422","According to Barrack, Stone was also in touch with Trump directly to recommend that Trump hire Manafort.","Stone","Manafort","positive1"
"423","Bannon recalled that, prior to joining the Campaign, ""Stone told him that he had a connection to Assange"" and ""implied that he had inside information about WikiLeaks.""","Stone","Bannon","neutral2"
"424","Barrack responded that he was continuing to get pushback.","Barrack","Paul Manafort","neutral2"
"425","In addition, the GRU had very likely used direct messaging between the Guccifer 2.0 and DCLeaks personas to mask the hand of the Russian government.","GRU","Guccifer 2.0","neutral1"
"426","Deripaska hired Manafort, whose company began working in Montenegro on Deripaska's behalf as early as 2005.","Deripaska","Manafort","neutral1"
"427","The FBI made some relevant records available to the Committee, including: notes from its interviews with Papadopoulos, as well as a detailed timeline of Papadopoulos's activities from March 2016 through August 2017.","FBI","Papadopoulos","neutral2"
"428","Tarazov and Standik were later declared persona non grata in 2018 by the United States.","United State","Tarazov","negative1"
"429","One narrative from Assange involved a conspiracy theory that Seth Rich, a DNC staffer killed in a botched robbery, was the source of the DNC ·email leak and had been murdered in response.","Seth Rich","DNC","neutral1"
"430","Bannon and Donald Trump enjoyed trash-talking McMaster together.","Donald Trump","McMaster","negative1"
"431","Kilimnik explained to Patten that he was interested in using Manafort as a means to influence both the Trump Administration and the Russian government to effect a certain political outcome.","Kilimnik","the Trump Administration","neutral1"
"432","Shmykov told Sater that the letter was a ""placeholder.""","Shmykov","Sater","neutral2"
"433","Kilimnik was frustrated by this meeting, stating that he met ""Finer or whatever the fuck is his. name. In total space.""","Kilimnik","Finer","neutral2"
"434","For years, Kilimnik was defensive about Russian interference in Ukraine with U.S. Embassy in Kyiv officials; he would admit some Russian interference by well-known Russian agents like Medvedchuk, but attempt to distance himself and the OB from Russia.","Russia","Ukraine","negative1"
"435","Manafort discussed the Fabrizio internal Trump polling data with Kilimnik, and explained that Fabrizio 's polling numbers showed that the Clinton negatives, referred to as a 'term poll, ' were high.","Manafort","Kilimnik","neutral2"
"436","On December 6, 2013, Emin Agalarov sent the signed agreement to Trump Jr. and introduced him, by email, to Irakli Kaveladze, who Agalarov said had worked on the Miss Universe pageant, had met Trump, and would be working on the Trump Tower deal for Crocus.","Irakli Kaveladze","Emin Agalarov","neutral1"
"437","It is a pity that Vladimir Putin and Donald Trump were not able to have their meeting, but Vladimir Putin hopes they will be able to talk during one of Donald Trump's upcoming visits to Russia.","Vladimir Putin","Donald Trump","positive1"
"438","Their names are Alex Sapir and Rotem Rosen.""","Rotem Rosen","Donald Trump","positive2"
"439","S/he said Dimitry Medvedev and his colleagues wanted to have good relations with the US, regardless of who was in power there, and not least so as to be able to travel there in future, either officially or privately.","Dimitry Medvedev","US","positive1"
"440","The Committee found that Manafort's presence on the Campaign and proximity to Trump created opportunities for the Russian intelligence services to exert influence over, and acquire confidential information on, the Trump Campaign.","Manafort","Trump","positive2"
"441","Following Le Pen's 2017 defeat in the French presidential election, Rykov told a journalist that he was disappointed that his support for Le Pen ""did not work out the same way that it did with the US President.""","Rykov","Le Pen","positive1"
"442","By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.","IRA","Hillary Clinton","negative1"
"443","Azarov's press spokesperson both during his time serving as Prime Minister in Ukraine and when he announced his government-in-exile from Moscow, was Serhiy Zavorotnyy, an SVR officer involved in influence operations.","Serhiy Zavorotnyy","Azarov","neutral1"
"444","On November 10, Emin responded to an email from the architect William McGee, informing McGee that, ""We may do a tower with him [Trump] now.""","Emin","Trump","positive2"
"445","On January 26, 2016, Sater asked Cohen if he would speak directly on the phone ""with the guy coordinating to arrange all the calls so you can speak first person to everyone.""","Sater","Cohen","neutral2"
"446","On January 21, 2016, the day after the phone call with Peskov's assistant Poliakova, Sater contacted Cohen via telephone call and text message.","Poliakova","Peskov","neutral1"
"447","Both Agalarov and Veselnitskaya are connected to Petr Katsyv.","Agalarov","Petr Katsyv","positive2"
"448","Cohen, through Sater, began negotiations with a Russia-based developer, Andrey Rozov and Rozov's company, LC. Expert.","Sater","Cohen","neutral1"
"449","As noted, at Trump's suggestion, on November 19, 2013, Donald Trump Jr. reached out to Emin Agalarov regarding a possible joint development project in Moscow.","Donald Trump","Donald Trump Jr.","neutral2"
"450","[From: Donald Trump Jr.] [To: Rob Goldstone]","Donald Trump Jr.","Rob Goldstone","neutral2"
"451","Similarly, on April 6, 2016, the IRA purchased advertisements for its account ""Black Matters"" calling for a ""flashmob"" of U.S. persons to ""take a photo with #HillaryClintonForPrison2016 or #nohillary2016.""","IRA","Clinton","negative2"
"452","Emin Agalarov, lrakli Kaveladze, and Jason Tropea all shared the same legal representation, Scott Balber.","Scott Balber","Emin Agalarov","neutral1"
"453","Mr.. Trump was there, Paula; Rob Goldstone ,Aras,Emin.","Trump","Rob Goldstone","neutral2"
"454","In statements to the media in August 2018, Rybka suggested she sent copies of her recordings to Deripaska, and expressed her hope that he would help secure her release from prison.","Rybka","Deripaska","positive1"
"455","Open source information also suggests that, in 2004, Kilimnik began working in Ukraine for Deripaska in support of Yanukovych' s election.","Kilimnik","Yanukovych","positive1"
"456","Cohen quickly responded to Klokov's email, copying Ivanka Trump.","Cohen","Klokov","neutral2"
"457","Papadopoulos is listed in the attachment as ""Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.""","Papadopoulos","University College London","positive2"
"458","Barrack sent the same email and attachments to Ivanka Trump and Jared Kushner, stating ""I think it is really, really important and Manafort is a genius killer but the opposite of Stone.""","Barrack","Manafort","positive1"
"459","Manafort provided a draft questionnaire to Fabrizio and Fabrizio's company.","Manafort","Fabrizio's company","neutral2"
"460","Continuing on this theme the source close to Ivanov reported that Peskov now was ""scared shitless"" that he would be scapegoated by Putin and the Kremlin and held responsible for the backlash against Russian political interference in the US election.","Peskov","Putin","negative1"
"461","Veselnitskaya, Samochornov, Akhmetshin, and Kaveladze went briefly to a bar in Trump Tower for a drink.","Veselnitskaya","Kaveladze","positive1"
"462","Patten also believed that Kilimnik was attempting to distance himself from Manafort in furtherance of Kilimnik's own ongoing work in Ukraine.","Kilimnik","Manafort","negative1"
"463","And she said-and Natalia asked me if I could hand her the phone, and so I handed her the phone, and she thanked Agalarov.","Natalia","Agalarov","positive1"
"464","The Committee assesses that Boyarkin handled other influence operations ' funded and cordinated with Deripaska-with the approval and direction of the Kremlin.","Kremlin","Boyarkin","positive1"
"465","Kilimnik was directed to present the proposal and Manafort's response in person.","Manafort","Kilimnik","neutral2"
"466","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Olivia Culpo","neutral2"
"467","Bannon and Conway, campaign holdovers, often goad Trump to return to what Trump likes best, the sneering and jeering that draws cheers from Trump supporters.","Conway","Trump","positive1"
"468","This was confirmed by Source D, a close associate of Trump who had organized and managed his recent trips to Moscow who reported, also in June 2016, that this Russian intelligence had been �very helpful�.","Source D","Trump","positive2"
"469","3 Days later, on June 14, DCLeaks reached out to WikiLeaks on Twitter direct message: You announced your organization was preparing to publish more Hillary's emails.","DCLeaks","Wikileaks","neutral2"
"470","Cohen later told the Committee that Ryan claimed that the communication was privileged at the request of Abbe Lowell, who at the time served as attorney to Ivanka Trump and Jared Kushner.","Abbe Lowell","Ivanka Trump","neutral1"
"471","Five days later, on June 13, it was Jeff Sessions’s turn to testify before the Senate Intelligence Committee.","Jeff Session","Senate Intelligence Committee","neutral2"
