"","sentence","head","tail","relation"
"1801","Kilimnik first told Manafort that he had been ""sending everything to Victor Boyarkin, who has been forwarding the coverage directly to OVD.""","Victor Boyarkin","OVD","neutral2"
"1802","On March 6, 2016, Clovis wrote an email update to senior Campaign members, including Jared Kushner, Ivanka Trump, Corey Lewandowski, Michael Glassner, and Stephen Miller, explaining that he had ""made contact with everyone in the matrix ...","Clovis","Stephen Miller","neutral2"
"1803","Mr. Mattis also tried, unsuccessfully, to hire Michèle A. Flournoy, a Defense Department under secretary in the Obama administration","Michèle A. Flournoy","Defense Department","neutral1"
"1804","The Committee scrutinized Paul Manafort and Rick Gates in order to determine whether these activities were connected to Russian interference in the 2016 U.S. election..","The Committee","Rick Gates","negative1"
"1805","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Esther Swan","neutral2"
"1806","WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.","Justice Department","Hillary Clinton","negative1"
"1807","“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.","Chris Sabatino","El Caribe","neutral1"
"1808","Aides to Vice President Mike Pence have called Mr. Watts twice since Saturday to discuss the president’s rally. Mr. Watts said he still did not plan to attend, even though he was friendly with Mr. Pence when the two were colleagues in the House of Representatives.","Mike Pence","Watts","positive2"
"1809","Manafort, who had left the Trump Campaign in August, recalled speaking with Stone around the first presidential debate between Trump and Clinton, which took place on September 26, 2016.","Manafort","Trump Campaign","negative1"
"1810","On June 29, 2016, Goldstone emailed Dan Scavino, copying Trump Jr., Graff, and Sidorkov, reiterating his previous offers to create a ""VOTE Trump 2016"" page on the Russian social networking site.","Goldstone","Graff","neutral2"
"1811","On September 18, Emin Agalarov wrote to Goldstone, simply stating, ""Trumps letter is with Peskov he will pass on to Vladimir Putin.""","Peskov","Vladimir Putin","neutral1"
"1812","Sidorkov had previously been helpful to Emin Agalarov, and Goldstone now wanted to be helpful to him.","Goldstone","Sidorkov","positive1"
"1813","Manafort has said that Veselnitskaya suggested that Trump call for the repeal of the Magnitsky Act, which she said hurt U.S.-Russia relations.","Veselnitskaya","Trump","neutral1"
"1814","In particular, Sam Patten told the Committee that Kilimnik mentioned Manafort's belief that ""because or Clinton's high negatives, there was a chance, only because her negatives were so astronomically high, that it was possible to win.""","Sam Patten","Committee","neutral2"
"1815","Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.","Papadopoulos","Olga Polonskaya","neutral1"
