"sentID","sentence","head","tail","relation"
1587,"Kilimnik was frustrated by this meeting, stating that he met ""Finer or whatever the fuck is his. name. In total space.""","Kilimnik","Finer","neutral2"
713,"With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","McMaster","Trump","negative1"
1767,"After leaving the Trump Campaign in August 2016, Manafort stayed in touch with Trump, Kushner, and others on the Trump Campaign.","Manafort","Trump","positive2"
3821,"Cohen has stated that the interaction between Trump Jr. and his father took place in early June 2016, but the timing of what Cohen remembers remains somewhat unclear.","Trump Jr.","Trump","positive2"
1239,"Separately, Bob Foresman, an American businessman living in Moscow who sought a position in the Trump Administration, conveyed brief messages between the Trump Campaign and several Kremlin-linked individuals, including Putin confidant Matthias Warnig, and provided other information relating to the U.S.-Russia relationship during the Transition.","Bob Foresman","Trump Administration","positive1"
3119,"On October 29, 2013, Shugart, who was in Moscow, 1871 emailed Graff a series of photos of Aras Agalarov receiving the award from Putin.","Putin","Aras Agalarov","positive1"
200,"Donald Trump dictated arguments and specific language for the letter, and Miller took notes.","Donald Trump","Miller","positive2"
2482,"Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.","Flynn","Trump Campaign","positive1"
63,"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.","Trump","Hillary Clinton","negative2"
3947,"Akhmetshin had only expected Trump Jr., and not Manafort and Kushner.","Akhmetshin","Manafort","neutral1"
4075,"Roman Beniaminov told the Committee that Aras Agalarov instructed him to deliver the gift, a painting, with Goldstone's assistance.","Aras Agalarov","Roman Beniaminov","neutral1"
1012,"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.","Chris Sabatino","El Caribe","neutral1"
4636,"Andrey Kostin is the chairman of Vneshtorgbank (VTB), Russiaá state-owned bank and one of the largest banks in Russia.","Andrey Kostin","Vneshtorgbank (VTB)","neutral1"
3211,"Schiller told the Committee that, generally, the preference when traveling was for Schiller to have the room next to Trump, however that was not always possible .","Schiller","Trump","positive2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Donald Trump","neutral2"
4312,"Kaveladze told the Committee that he met with Veselnitskaya, Akhmetshin, and Samochomov, at a dinner in New York for Veselnitskaya's birthday, likely in February of 2017.","Veselnitskaya","Samochomov","neutral2"
324,"Dmitriev and Prince later met face-to-face in January 2017 in the Seychelles and discussed U.S.-Russia relations.","Dmitriev","Prince","neutral2"
3190,"If Donald Trump and Phil Ruffin decide to go forward, which Donald Trump hopes they will, Donald Trump has no doubt it will be a wonderful success.","Donald Trump","Phil Ruffin","positive1"
1755,"Instead, Bannon understood that Manafort would ""be able to stick around as a figurehead.""","Manafort","Trump Campaign","neutral1"
