"","sentence","head","tail","relation"
"201","Similarly, Goldstone recalled: Then Jared said: 'I have no idea what Natalia Veselnitskaya is talking about, ' or words to that effect.","Jared","Natalia Veselnitskaya","negative1"
"202","The AMS Panel [] served as a nerve center through which GRU officers monitored and directed the malware's operations on the DNC/DCCC networks.","GRU","DCCC","negative1"
"203","On June 16, 2015, the day that Trump announced his candidacy, Goldstone emailed Graff and Trump Jr. with the subject line, ""Please pass on mine and Emin's best wishes and congratulations to Mr. Trump.""","Goldstone","Graff","neutral2"
"204","Given Kilimnik's work as a Russian intelligence officer; the Committee also sought to understand Kilimnik's engagement with the U.S. Embassy in Kyiv during this time period.","Kilimnik","U.S. Embassy in Kyiv","neutral1"
"205","On July 13, 2017, @USA_ Gunslinger, a long-running false persona account ofthe Internet Research Agency (IRA), tweeted about ""Clinton and her campaign team's collusion with Ukraine to interfere in. the US election.""","Internet Research Agency","USA_ Gunslinger","neutral2"
"206","Military Unit 26165 implanted on the DCCC and DNC networks two types of customized malware,123 known as ""X-Agent"" and ""X-Tunnel""; Mimikatz, a credential-harvesting tool; and rar.exe, a tool used in these intrusions to compile and compress materials for exfiltration.","Military Unit 26165","DCCC","negative1"
"207","On the evening of October 1, Credico sent Stone new messages about an upcoming WikiLeaks release.","Credico","Stone","neutral2"
"208","In approximately late September 2015, Cohen received a call from Rtskhiladze, who called to offer Cohen a potential business deal in Russia for the Trump Organization.","Rtskhiladze","Trump Organization","positive1"
"209","As a result, Sater and Evgeny worked to arrange an invitation for Cohen to SPIEF.","Sater","Evgeny","neutral2"
"210","Stone responded,""Pretty standard.""","Stone","Guccifer 2.0","neutral1"
"211","A recording available on YouTube purports to reproduce a conference call conversation between ""Georgy"" (presumably Georgy Oganov), Tatiana Monaghan, and William Sein about this matter.","Georgy Oganov","Tatiana Monaghan","neutral2"
"212","On July 29, Stone messaged Manafort about finding a time for the two of them to communicate, writing that there was ""good shit happening.""","Stone","Manafort","neutral2"
"213","At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.","Caputo","Cohen","negative1"
"214","In March 2016, the GRU began hacking the email accounts of Clinton Campaign volunteers and employees, including campaign chairman John Podesta.","John Podesta","Clinton campaign","neutral1"
"215","Kilimnik later shared with Patten what he had learned about Manafort' s ""campaign strategy"" at the ·meeting , including a discussion of whether Trump ""[has] a shot; if he has a shot, why.""","Kilimnik","Manafort","neutral2"
"216","On November 7, Feliciano emailed to Svetlana Bignova, Paula Shugart' and others, stating that, ""Keith has also requested a person to stand in front of room when Trump is in the rooms I will work on that and hope to have someone provide.""","Keith","Trump","positive2"
"217","The GRU later sent The Smoking Gun reporter a password and link to a locked portion of the dcleaks.com website that contained an archive of emails stolen by Military Unit 26165 from a Clinton Campaign volunteer in March 2016","Military Unit 26165","The Smoking Gun","neutral2"
"218","As reports attributing the DNC and DCCC hacks to the Russian government emerged, WikiLeaks and Assange made several public statements apparently designed to obscure the source of the materials that WikiLeaks was releasing.","DNC","Russian government","negative1"
"219","At the same time that he sent the GenBank letter to Cohen, Sater told Cohen that the planned meetings would be held with senior Russian government officials.","Sater","Cohen","neutral2"
"220","Records reflect one-minute calls (suggesting no connection) between Stone and Manafort on July 28 and 29.","Stone","Manafort","neutral2"
"221","For example, Kaveladze and Veselnitskaya remained in contact and Kaveladze facilitated at least two additional meetings between Veselnitskaya and Aras Agalarov.","Kaveladze","Veselnitskaya","neutral2"
"222","Strongly suggest Donald Trump tweets this link if he mentions WikiLeaks wlsearch.tk.""","WikiLeaks","Donald Trump","neutral1"
"223","But the Republicans knew they were getting somewhere when Trump signaled to Michael Cohen that he wanted more talks.","Michael Cohen","Trump","neutral1"
"224","At approximately 4:32 p.m. on October 7 - approximately 32 minutes after the release of the Access Hollywood tape - WikiLeaks released 2,050 emails that the GRU had stolen from John Podesta, repeatedly announcing the leak on Twitter and linking to a searchable archive of the documents.","GRU","John Podesta","negative1"
"225","Rob Goldstone wrote: l hope Donald Trump is doing well and congratulations on an outstanding job so far re the campaign.","Rob Goldstone","Donald Trump","positive1"
"226","While Trump was Sater's primary point of contact in theTrump Organization, Sater also worked with Donald Trump Jr., Ivanka Trump, and Jason Greenblatt at various times during his efforts.","Sater","Donald Trump Jr.","neutral1"
"227","Michael Cohen told Caputo he had always wanted to run for mayor of New York City, a race he said he could win if Trump was governor.","Michael Cohen","Caputo","neutral2"
"228","The Office otherwise was unable to determine the content and origin of the information Alexei Rasin purportedly offered to Stone","Alexei Rasin","Stone","neutral1"
"229","Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.","Jeff Sessions","Trump Campaign","positive1"
"230","Between mid-January 2017 and early February 2017, three congressional committees-the House Permanent Select Committee on Intelligence (HPSCI), the Senate Select Committee on Intelligence (SSCI), and the Senate Judiciary Committee (SJC)-announced that they would conduct inquiries, or had already been conducting inquiries, into Russian government interference in the election.","Senate Select Committee on Intelligence (SSCI)","Russian government","negative1"
"231","Trump's remarks came just days after one of his top aides, Hope Hicks, resigned and his son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Jared Kushner","Trump","neutral1"
"232","Aras Agalarov, a prominent Russian oligarch originally from Azerbaijan, and his son Emin Agalarov, a musician and real estate executive, have since 2013 maintained both a business and personal relationship with Donald Trump.","Emin Agalarov","Donald Trump","positive2"
"233","In the 1990s, Trump pursued developments in Russia with various American businessmen, including Bennett LeBow, Howard Lorber, and others (described infra Vol. 5, Sec. III.I.4).","Trump","Howard Lorber","positive1"
"234","Sater continued to push Cohen to travel to Russia.","Sater","Cohen","neutral1"
"235","According to Source D, where s/he had been present, Trump's perverted conduct in Moscow included hiring the presidential suite of the Ritz Carlton Hotel, where he knew Barack Obama and Michelle Obama (whom he hated) had stayed on one of their official trips to Russia, and defiling the bed where they had slept by employing a number of prostitutes to perform a golden showers (urination) show in front of him.","Trump","Michelle Obama","negative1"
"236","So in answer to many of the questions today, how would I get to anybody or how would I know, Mikhail Ziats' partner was Arkady Rotenberg on one of the largest shopping malls in Moscow.","Mikhail Ziats","Arkady Rotenberg","positive2"
"237","Assange and WikiLeaks undertook efforts to obscure the source of the stolen emails, including through false narratives.","Assange","Wikileaks","positive2"
"238","The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.","Veselnitskaya","Rinat Akhmetshin","neutral2"
"239","However, in mid-January 2014 remarks for an award ceremony, Emin Agalarov planned to thank Klyushin and Klyushina, among others, calling them part of his ""Moscow 'family.""","Emin Agalarov","Klyushina","positive1"
"240","The following day there was a dress rehearsal and the Miss USA pageant at which Aras Agalarov and Emin Agalarov sat beside Trump.","Aras Agalarov","Emin Agalarov","positive2"
"241","White House officials are distancing themselves from a campaign Donald Trump’s former chief strategist, Steve Bannon, has mounted to defend the president from impeachment, after tensions flared again this weekend between Bannon and Jared Kushner.","Steve Bannon","Donald Trump","neutral1"
"242","Two military units of the GRU carried out the computer intrusions into the Clinton Campaign, DNC, and DCCC: Military Unit 26165 and Military Unit 74455.","Military Unit 74455","GRU","neutral2"
"243","Trump was scheduled to depart the hotel at 5:15 p.m. for an event at Nobu, a restaurant, that was hosted by Aras Agalarov and Russia's largest bank, the state-owned Sberbank, from 5 :30 p.m. to 6:30 p.m.","Trump","Aras Agalarov","positive2"
"244","Florida. That sentiment, Trump and DeSantis advisers say, was shared by Trump campaign manager Brad Parscale, who speaks frequently with the governor and is believed to be positioning himself to run DeSantis’s 2022 reelection campaign.","Brad Parscale","Trump Campaign","neutral1"
"245","Akhmetshin told the Committee that after doing research on Browder related to depositions in the Prevezon case, he had the idea to establish HRAGI and proposed it to Veselnitskaya and her client in Russia, Katsyv.","Veselnitskaya","Katsyv","positive2"
