"","sentence","head","tail","relation"
"1401","On November 9, 2016, Kaveladze emailed Goldstone to inform him that Aras Agalarov wanted to send a congratulatory note to Trump and asked Goldstone to review a draft of the letter.","Aras Agalarov","Goldstone","positive1"
"1402","In all cases, the IRA contacted the Trump Campaign while claiming to be U.S. political activists working on behalf of a conservative grassroots organization.","IRA","Trump Campaign","neutral2"
"1403","Manafort's relationship with Russian government-aligned interests began with his introduction to Oleg Deripaska in approximately 2004..","Manafort","Oleg Deripaska","neutral2"
"1404","Cohen eventually transmitted a signed LOI to Sater on November 2, 2015.","Cohen","Sater","neutral2"
"1405","Cohen recalled that Trump replied, ""Okay. Keep me posted.""","Trump","Cohen","neutral2"
"1406","Mangiante described Pittella as ""someone I am very close to,'' and further stated that Pittella was ""someone who is very close to Mifsud.""","Pittella","Mifsud","positive2"
"1407","To all outward appearances, it was an uneventful background interview, and DeYoung, Columbo-like in her affect, aroused no suspicions when she broached the de rigueur question: “My colleagues asked me to ask Michael Flynn this:","DeYoung","Michael Flynn","neutral2"
"1408","Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.","Eric Trump","Ivanka Trump","neutral2"
"1409","Incoming National Security Advisor Michael Flynn called Russian Ambassador Sergey Kislyak and asked Russia not to escalate the situation in response to the sanctions.","Michael Flynn","Russia","neutral1"
"1410","WikiLeaks contacted the Trump Campaign directly, through Donald Trump Jr., on several occasions.","WikiLeaks","Donald Trump Jr.","neutral1"
"1411","On November14, architects from the firm Jacobs /KlingStubbins who were working on behalf of Crocus Group emailed Trump Jr. and Florence Khoo at the Trump Organization and copied Emin Agalarov, Kaveladze, and others.","Jacobs /KlingStubbins","Crocus Group","neutral1"
"1412","Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.","Deripaska","Bletilla Ventures Limited","neutral2"
