"","sentence","head","tail","relation"
"1","Witnesses have told the special counsel’s investigators about how Mr Trump tried to end an investigation into an aide, install loyalists to oversee the inquiry into his campaign and fire Mr Mueller.","Trump","Mueller","negative1"
"2","Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.","Donald J. Trump Jr.","@TEN_GOP","neutral2"
"3","In September 2017, Michael Caputo was in Miami when he read an interview with Cohen, who by then was at the center of the federal investigation into the Trump campaign’s ties to Russia.","Trump Campaign","Russia","neutral2"
"4","A spokeswoman for the FBI declined to comment on Donald Trump's criticism of Mr Wray, whom the president's appointed last year after firing Mr Comey.","Donald Trump","Comey","negative1"
"5","Akhmetov's account with Manafort and DMP was handled by Akhmetov's deputy, Kolesnikov, and Kilimnik was the primary conduit for arranging payments to DMP.","Kolesnikov","DMP","neutral2"
"6","At10:59 a.m., after. the meeting with Manafort; Kilmnik sent Patten an email on the train"" and that he would be arriving at Washington's Union Station at 2:25 p.m.385 At 5:09 p.m., Gates asked Kilimnik to call him if he had not yet departed on his flight.","Kilimnik","Patten","neutral2"
"7","Stone told Corsi that he was talking to Trump, and Corsi assumed that Stone was conveying Corsi's information to the Campaign.","Stone","Corsi","neutral2"
"8","Before responding to Manafort, McFarland forwarded Manafort's request to Flynn and inquired whether she should agree to meet with Manafort.","McFarland","Flynn","neutral2"
"9","Donald Trump has also repeatedly expressed disappointment in the FBI director, Christopher Wray, for failing to more aggressively investigate Mrs Clinton, calling him weak, one of the people said.","Donald Trump","Christopher Wray","negative1"
"10","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Olivia Culpo","neutral2"
"11","Throughout 2015 and 2016, Aras Agalarov and Emin Agalarov remained in regular contact with Trump and Trump Jr., often through Graff and Goldstone or other staffworking for the Agalarovs.","Emin Agalarov","Trump","neutral2"
"12","During the meeting, Kilimnik updated Manafort on what was happening with Lyovochkin, Akhmetov, and their ""other friends"" in Kyiv.","Kilimnik","Manafort","neutral2"
"13","Anatoli Samochomov has stated that he was contacted by Robert Arakelian, the president of HRAGI, offering to cover his legal expenses if he was willing to confine his comments regarding the June 9 meeting to public statements already made by Veselnitskaya.","Robert Arakelian","Anatoli Samochomov","neutral2"
